color,x,y,z,a,b,c,d,e,f,g,h,i,part
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30050
15,-30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
15,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
15,-10.0,-8.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
4,-40.0,-8.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4081b
4,20.0,-8.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4081b
15,20.0,-8.0,20.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,60470a
15,-40.0,-8.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,60470a
15,-30.0,-16.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
15,10.0,-16.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020
15,-10.0,-16.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3710
15,-60.0,-6.0,64.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,3957a
15,40.0,-6.0,64.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,3957a
43,-60.0,-6.0,72.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,6141
43,40.0,-6.0,72.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,6141
0,-10.0,-24.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2436a
0,-10.0,-24.0,50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2436a
320,-40.0,-16.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,54200
320,20.0,-16.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,54200
15,20.0,-16.0,50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,54200
15,-40.0,-16.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,54200
15,-30.0,-24.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
15,10.0,-24.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
43,-40.0,-14.0,72.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,6141
43,-20.0,-14.0,72.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,6141
43,0.0,-14.0,72.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,6141
43,20.0,-14.0,72.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,6141
15,-10.0,-32.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021
15,-10.0,-32.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3022
4,-60.0,-6.0,-42.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4592
4,40.0,-6.0,-42.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4592
0,-60.0,-6.0,-42.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4593
