part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3623,Plate 1 x 3,14,1977,2025,https://rebrickable.com/parts/3623/plate-1-x-3/,https://cdn.rebrickable.com/media/parts/elements/362326.jpg,"['3623pr0014', '3623pr0027', '3623pr0028', '3623pr0020', '3623pr0018', '3623pr0021', '3623pr0024', '3623pr0019', '3623pr0023', '3623pr0022', '3623pr0030', '3623pr0031', '3623pr0025', '3623pr0026', '3623pr0032', '3623pr0011', '3623pr0008', '3623pr0010', '3623pr0009', '3623pr9999', '3623pr9998', '3623pr0029', '3623pr0013', '3623pr0012']",[],[],,['3623'],['212990'],['3623'],['3623'],['3623'],,Plates,1,3,,
3176,"Plate Special 3 x 2 with Rounded End, Hole",9,1966,2025,https://rebrickable.com/parts/3176/plate-special-3-x-2-with-rounded-end-hole/,https://cdn.rebrickable.com/media/parts/elements/317626.jpg,[],[],[],,['3176'],['796492'],['3176'],['3176'],['3176'],,Plates Special,3,2,,
60470a,Plate Special 1 x 2 with Clips Horizontal [Thick U-Clips],9,2007,2013,https://rebrickable.com/parts/60470a/plate-special-1-x-2-with-clips-horizontal-thick-u-clips/,https://cdn.rebrickable.com/media/parts/ldraw/71/60470a.png,[],['60470b'],[],,['60470'],['20393'],['60470'],['60470a'],['60470'],['60470'],Plates Special,1,2,,Thick U-Clips
4032b,Plate Round 2 x 2 with Axle Hole Type 2 (X Opening),21,2003,2021,https://rebrickable.com/parts/4032b/plate-round-2-x-2-with-axle-hole-type-2-x-opening/,https://cdn.rebrickable.com/media/parts/ldraw/4/4032b.png,[],['4032a'],[],,['4032'],['265581'],['4032'],['4032b'],['4032'],,Plates Round Curved and Dishes,2,2,,
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
63864,Tile 1 x 3,19,2010,2025,https://rebrickable.com/parts/63864/tile-1-x-3/,https://cdn.rebrickable.com/media/parts/elements/4558169.jpg,"['63864pr0012', '63864pr0009', '63864pr0010', '63864pr0008', '63864pr0018', '63864pr0006', '63864pr0044', '63864pr0004', '63864pr0026', '63864pr0027', '63864pr0005', '63864pr0003', '63864pr0002', '63864pr0011', '63864pr0020', '63864pr0016', '63864pr0019', '63864pr0022', '63864pr0029', '63864pr0030', '63864pr0017', '63864pr0031', '63864pr0024', '63864pr0025', '63864pr0028', '63864pr0033', '63864pr0032', '63864pr0035', '63864pr0034', '63864pr0039', '63864pr0041', '63864pr0059', '63864pr0042', '63864pr0043', '63864pr0045', '63864pr0046', '63864pr0047', '63864pr0049', '63864pr0048', '63864pr0050', '63864pr0051', '63864pr0054', '63864pr0060', '63864pr9999', '63864pr9996', '63864pr0056', '63864pr0055', '63864pr0057', '63864pr9993', '63864pr9992', '63864pr0061', '63864pr0062', '63864pr0063', '63864pr0013', '63864pr0058', '63864pr0001', '63864pr0007']",[],[],,['63864'],['276668'],"['37294', '63864']",['63864'],"['37294', '63864']",,Tiles,1,3,,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
3024,Plate 1 x 1,14,1962,2025,https://rebrickable.com/parts/3024/plate-1-x-1/,https://cdn.rebrickable.com/media/parts/elements/302401.jpg,"['3024pr0013', '3024pr0012', '3024pr0001', '3024pr0016', '3024pr0026', '3024pr0038', '3024pr0020', '3024pr0005', '3024pr0021', '3024pr0011', '3024pr0006', '3024pr0009', '3024pr0022', '3024pr0035', '3024pr0029', '3024pr0031', '3024pr0036', '3024pr0039', '3024pr0040', '3024pr0041', '3024pr0008', '3024pr0042', '3024pr0007', '3024pr0003', '3024pr0004', '3024pr0014', '3024pr0024', '3024pr0015', '3024pr0019', '3024pr0018', '3024pr0025', '3024pr0023', '3024pr0027', '3024pr0034']",[],[],,['3024'],['322944'],"['28554', '30008', '3024', '63326']",['3024'],"['28554', '30008', '3024', '63326']",['30008'],Plates,1,1,,
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,1978,2014,https://rebrickable.com/parts/3794a/plate-special-1-x-2-with-1-stud-without-groove-jumper/,https://cdn.rebrickable.com/media/parts/ldraw/0/3794a.png,[],"['15573', '3794b']",[],,['3794a'],['232955'],['3794'],['3794a'],['3794'],['3794'],Plates Special,1,2,,
2412b,Tile Special 1 x 2 Grille with Bottom Groove,15,1990,2025,https://rebrickable.com/parts/2412b/tile-special-1-x-2-grille-with-bottom-groove/,https://cdn.rebrickable.com/media/parts/elements/241226.jpg,[],['2412a'],[],,['2412b'],['363948'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",['2412b'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",,Tiles Special,1,2,,
