part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795,Plate 2 x 6,14.0,1978.0,2025.0,Plates,2.0,6.0,,
1,8,0.0,-8.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3031,Plate 4 x 4,14.0,1970.0,2025.0,Plates,4.0,4.0,,
2,7,0.0,0.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795,Plate 2 x 6,14.0,1978.0,2025.0,Plates,2.0,6.0,,
3,7,0.0,-8.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3710,Plate 1 x 4,14.0,1976.0,2025.0,Plates,1.0,4.0,,
4,8,0.0,-8.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3031,Plate 4 x 4,14.0,1970.0,2025.0,Plates,4.0,4.0,,
5,7,0.0,-8.0,80.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3032,Plate 4 x 6,14.0,1969.0,2025.0,Plates,4.0,6.0,,
6,7,0.0,-16.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3795,Plate 2 x 6,14.0,1978.0,2025.0,Plates,2.0,6.0,,
7,8,0.0,-32.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3001,Brick 2 x 4,11.0,1979.0,2025.0,Bricks,2.0,4.0,,
8,0,0.0,-32.0,150.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3937,Hinge Brick 1 x 2 Base,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
9,7,-30.0,-32.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,43710,Wedge Sloped 4 x 2 Triple Left,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
10,7,30.0,-32.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,43711,Wedge Sloped 4 x 2 Triple Right,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
11,0,-30.0,-32.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3937,Hinge Brick 1 x 2 Base,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
12,0,30.0,-32.0,80.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3937,Hinge Brick 1 x 2 Base,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
13,7,30.0,-32.0,110.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3040b,Slope 45° 2 x 1 with Bottom Pin,3.0,1978.0,2025.0,Bricks Sloped,2.0,1.0,,
14,7,-30.0,-32.0,110.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3040b,Slope 45° 2 x 1 with Bottom Pin,3.0,1978.0,2025.0,Bricks Sloped,2.0,1.0,,
15,7,30.0,-32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43710,Wedge Sloped 4 x 2 Triple Left,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
16,7,-30.0,-32.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43711,Wedge Sloped 4 x 2 Triple Right,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
17,7,-30.0,-32.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3040b,Slope 45° 2 x 1 with Bottom Pin,3.0,1978.0,2025.0,Bricks Sloped,2.0,1.0,,
18,7,30.0,-32.0,50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3040b,Slope 45° 2 x 1 with Bottom Pin,3.0,1978.0,2025.0,Bricks Sloped,2.0,1.0,,
19,7,30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
20,7,-30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
21,0,30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
22,0,-30.0,-16.0,-50.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
23,7,36.757355,-28.899498,80.0,0.0,-0.707107,-0.707107,0.0,0.707107,-0.707107,1.0,0.0,0.0,3938,Hinge Brick 1 x 2 Top Plate Thin,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
24,7,-36.722736,-28.622414,80.0,0.0,0.707107,0.707107,0.0,0.707107,-0.707107,-1.0,0.0,0.0,3938,Hinge Brick 1 x 2 Top Plate Thin,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
25,7,0.0,-31.498062,154.407455,-1.0,0.0,0.0,0.0,0.898794,-0.438371,0.0,-0.438371,-0.898794,3938,Hinge Brick 1 x 2 Top Plate Thin,18.0,1979.0,2025.0,"Hinges, Arms and Turntables",1.0,2.0,,
26,7,0.0,-40.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3298,Slope 33° 3 x 2,3.0,1971.0,2025.0,Bricks Sloped,3.0,2.0,,
27,320,0.0,-24.0,-50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9.0,2005.0,2017.0,Plates Special,1.0,2.0,,
28,320,0.0,-24.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9.0,2005.0,2017.0,Plates Special,1.0,2.0,,
29,320,0.0,-24.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9.0,2005.0,2017.0,Plates Special,1.0,2.0,,
30,7,30.0,-40.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
31,7,-30.0,-40.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
32,7,0.0,-40.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3020,Plate 2 x 4,14.0,1962.0,2025.0,Plates,2.0,4.0,,
33,7,0.0,-29.920996,175.890366,0.0,0.0,-1.0,0.438371,0.898794,0.0,0.898794,-0.438371,0.0,3021,Plate 2 x 3,14.0,1962.0,2025.0,Plates,2.0,3.0,,
34,320,0.0,-40.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b,Tile Special 1 x 2 Grille with Bottom Groove,15.0,1990.0,2025.0,Tiles Special,1.0,2.0,,
35,320,0.0,-40.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b,Tile Special 1 x 2 Grille with Bottom Groove,15.0,1990.0,2025.0,Tiles Special,1.0,2.0,,
36,7,-10.0,-38.688408,157.914474,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
37,7,10.0,-38.688408,157.914474,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
38,7,10.828417,-36.234596,181.194885,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
39,0,10.828417,-35.326233,180.728683,1.0,0.0,0.0,0.0,0.325568,0.945518,0.0,-0.945518,0.325568,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
40,7,-9.171583,-36.234596,181.194885,1.0,0.0,0.0,0.0,0.898794,0.438371,0.0,-0.438371,0.898794,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
41,0,-9.171583,-35.326233,180.728683,1.0,0.0,0.0,0.0,0.325568,0.945518,0.0,-0.945518,0.325568,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
42,8,0.0,-48.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3068b,Tile 2 x 2 with Groove,19.0,1974.0,2025.0,Tiles,2.0,2.0,,
43,7,49.485279,-27.485283,80.0,-0.707107,-0.707107,0.0,-0.707107,0.707107,0.0,0.0,0.0,-1.0,4150,Tile Round 2 x 2 with Bottom Cross,67.0,1983.0,2015.0,Tiles Round and Curved,2.0,2.0,,
44,7,-49.450657,-27.208202,80.0,-0.707107,0.707107,0.0,0.707107,0.707107,0.0,0.0,0.0,-1.0,4150,Tile Round 2 x 2 with Bottom Cross,67.0,1983.0,2015.0,Tiles Round and Curved,2.0,2.0,,
45,320,0.0,-48.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9.0,2005.0,2017.0,Plates Special,1.0,2.0,,
46,7,0.0,-48.0,-10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4287,,,,,,,,,
47,8,0.0,-48.0,-30.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,47905,Brick Special 1 x 1 with Studs on 2 Sides,5.0,2004.0,2025.0,Bricks Special,1.0,1.0,,
48,47,0.0,-32.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
49,47,0.0,-40.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
50,47,0.0,-48.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
51,7,18.198486,-37.801498,-30.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
52,0,18.198486,-37.801498,-30.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
53,7,-18.198513,-37.801498,-30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
54,0,-18.198513,-37.801498,-30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
55,7,30.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
56,7,30.0,0.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
57,7,-30.0,0.0,10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
58,7,-30.0,0.0,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3665,Slope Inverted 45° 2 x 1,3.0,1977.0,2025.0,Bricks Sloped,2.0,1.0,,
59,7,30.0,0.0,-10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
60,7,-30.0,0.0,170.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
61,7,-30.0,0.0,-10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
