part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3460,Plate 1 x 8,14,1972,2025,https://rebrickable.com/parts/3460/plate-1-x-8/,https://cdn.rebrickable.com/media/parts/elements/346026.jpg,['3460pr0001'],[],[],,['3460'],['840367'],['3460'],['3460'],['3460'],,Plates,1,8,,
30357,Plate Round Corner 3 x 3,21,1999,2025,https://rebrickable.com/parts/30357/plate-round-corner-3-x-3/,https://cdn.rebrickable.com/media/parts/elements/4212075.jpg,[],[],[],,['30357'],['796965'],['30357'],['30357'],['30357'],,Plates Round Curved and Dishes,3,3,,
30565,Plate Round Corner 4 x 4,21,2001,2025,https://rebrickable.com/parts/30565/plate-round-corner-4-x-4/,https://cdn.rebrickable.com/media/parts/elements/4222042.jpg,[],[],[],,['30565'],['304411'],['30565'],['30565'],['30565'],,Plates Round Curved and Dishes,4,4,,
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,1978,2014,https://rebrickable.com/parts/3794a/plate-special-1-x-2-with-1-stud-without-groove-jumper/,https://cdn.rebrickable.com/media/parts/ldraw/0/3794a.png,[],"['15573', '3794b']",[],,['3794a'],['232955'],['3794'],['3794a'],['3794'],['3794'],Plates Special,1,2,,
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],21,1991,2025,https://rebrickable.com/parts/2654/plate-round-2-x-2-with-rounded-bottom-boat-stud/,https://cdn.rebrickable.com/media/parts/elements/265426.jpg,"['2654pr0002', '2654pr0001', '2654pr0014', '2654pr0011', '2654pr9999', '2654pr0013', '2654pr0023', '2654pr0017', '2654pr0022', '2654pr0007', '2654pr0029', '2654pr0004', '2654pr0003', '2654pr0012', '2654pr0016', '2654pr0026', '2654pr0027', '2654pr0025', '2654pr9997', '2654pr9998', '2654pr9996', '2654pr0032', '2654pr0009', '2654pr0030', '2654pr0031', '2654pr0033', '2654pr0028', '2654pr0015', '2654pr0019', '2654pr0006', '2654pr0008', '2654pr0005', '2654pr0010', '2654pr0034']",[],[],,['2654'],['243161'],"['2654', '28558', '54196', '93791']",['2654a'],"['2654', '28558', '54196', '93791']",,Plates Round Curved and Dishes,2,2,,Boat Stud
3024,Plate 1 x 1,14,1962,2025,https://rebrickable.com/parts/3024/plate-1-x-1/,https://cdn.rebrickable.com/media/parts/elements/302401.jpg,"['3024pr0013', '3024pr0012', '3024pr0001', '3024pr0016', '3024pr0026', '3024pr0038', '3024pr0020', '3024pr0005', '3024pr0021', '3024pr0011', '3024pr0006', '3024pr0009', '3024pr0022', '3024pr0035', '3024pr0029', '3024pr0031', '3024pr0036', '3024pr0039', '3024pr0040', '3024pr0041', '3024pr0008', '3024pr0042', '3024pr0007', '3024pr0003', '3024pr0004', '3024pr0014', '3024pr0024', '3024pr0015', '3024pr0019', '3024pr0018', '3024pr0025', '3024pr0023', '3024pr0027', '3024pr0034']",[],[],,['3024'],['322944'],"['28554', '30008', '3024', '63326']",['3024'],"['28554', '30008', '3024', '63326']",['30008'],Plates,1,1,,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
3004,Brick 1 x 2,11,1963,2025,https://rebrickable.com/parts/3004/brick-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/300401.jpg,"['3004pr0014', '3004pr0036', '3004pr9974', '3004pr9979', '3004pr9981', '3004pr0020', '3004pr0021', '3004pr9958', '3004pr9970', '3004pr0001', '3004pr9973', '3004pr0056', '3004pr0008', '3004pr9975', '3004pr9972', '3004pr9994', '3004pr9980', '3004pr0064', '3004pr0002', '3004pr9990', '3004pr0075', '3004pr0103', '3004pr9976', '3004pr9965', '3004pr0138', '3004pr9968', '3004pr9985', '3004pr9969', '3004pr9967', '3004pr0092', '3004pr0090', '3004pr9991', '3004pr0003', '3004pr9993', '3004pr9977', '3004pr9964', '3004pr0007', '3004pr0012', '3004pr0093', '3004pr0066', '3004pr9982', '3004pr0105', '3004pr0070', '3004pr9983', '3004pr0091', '3004pr9989', '3004pr0111', '3004pr0015', '3004pr0065', '3004pr0047', '3004pr9952', '3004pr0040', '3004pr0149', '3004pr0044', '3004pr0097', '3004pr0024', '3004pr0076', '3004pr0016', '3004pr0085', '3004pr0077', '3004pr0083', '3004pr0084', '3004pr0115', '3004pr0107', '3004pr0108', '3004pr0109', '3004pr0110', '3004pr0114', '3004pr0112', '3004pr9953', '3004pr9954', '3004pr9949', '3004pr9950', '3004pr0127', '3004pr0116', '3004pr0010', '3004pr0122', '3004pr0121', '3004pr0004', '3004pr0120', '3004pr0039', '3004pr0035', '3004pr0017', '3004pr0061', '3004pr0022', '3004pr0023', '3004pr9957', '3004pr9956', '3004pr9966', '3004pr0006', '3004pr0071', '3004pr0018', '3004pr9963', '3004pr0072', '3004pr9961', '3004pr9988', '3004pr9971', '3004pr0068', '3004pr9992', '3004pr0123', '3004pr9959', '3004pr9987', '3004pr0031', '3004pr9986', '3004pr9978', '3004pr9962', '3004pr0037', '3004pr9960', '3004pr0013', '3004pr0032', '3004pr0005', '3004pr0019', '3004pr0025', '3004pr0026', '3004pr0096', '3004pr0034', '3004pr0098', '3004pr0033', '3004pr0045', '3004pr0048', '3004pr9998', '3004pr9999', '3004pr0011', '3004pr0050', '3004pr0051', '3004pr0053', '3004pr0052', '3004pr0041', '3004pr0042', '3004pr0062', '3004pr9997', '3004pr0057', '3004pr0059', '3004pr0073', '3004pr0089', '3004pr0079', '3004pr0080', '3004pr0081', '3004pr0088']",[],"['3065', '3134', '3134a', '3065a']",,['3004'],['442413'],"['3004', '93792']",['3004'],"['3004', '93792']",,Bricks,1,2,,
6091,Brick Curved 1 x 2 x 1 1/3 with Curved Top,37,1992,2025,https://rebrickable.com/parts/6091/brick-curved-1-x-2-x-1-13-with-curved-top/,https://cdn.rebrickable.com/media/parts/elements/609101.jpg,[],[],[],,['6091'],['60351'],"['32807', '6091']",['6091'],"['32807', '6091']",,Bricks Curved,1,2,1,
61678,Slope Curved 4 x 1 No Studs [Stud Holder with Asymmetric Ridges],37,2007,2013,https://rebrickable.com/parts/61678/slope-curved-4-x-1-no-studs-stud-holder-with-asymmetric-ridges/,https://cdn.rebrickable.com/media/parts/ldraw/15/61678.png,[],['11153'],[],,['61678'],['145568'],"['61678', '63971']",['61678'],"['61678', '63971']",,Bricks Curved,4,1,,Stud Holder with Asymmetric Ridges
