part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6112,Brick 1 x 12,11.0,1993.0,2025.0,Bricks,1.0,12.0,,
1,8,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6112,Brick 1 x 12,11.0,1993.0,2025.0,Bricks,1.0,12.0,,
2,7,10.0,24.0,-120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
3,7,10.0,24.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
4,8,10.0,0.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2877,Brick Special 1 x 2 with Grille,5.0,1991.0,2025.0,Bricks Special,1.0,2.0,,
5,8,10.0,0.0,-130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3660,"Slope Inverted 45° 2 x 2 [Ovoid Bottom Pin, Bar-sized Stud Holes]",3.0,1976.0,2025.0,Bricks Sloped,2.0,2.0,,"Ovoid Bottom Pin, Bar-sized Stud Holes"
6,7,10.0,24.0,60.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
7,7,10.0,24.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
8,7,10.0,24.0,-60.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30000,Brick Special 2 x 2 with 2 Pins and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
9,7,30.0,-24.0,-130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6565,Wedge 3 x 2 Left,6.0,1994.0,2025.0,Bricks Wedged,3.0,2.0,,
10,7,-10.0,-24.0,-130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6564,Wedge 3 x 2 Right,6.0,1994.0,2025.0,Bricks Wedged,3.0,2.0,,
11,4,10.0,-24.0,-60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20006,,,,,,,,,
12,7,10.0,-24.0,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3003,Brick 2 x 2,11.0,1985.0,2025.0,Bricks,2.0,2.0,,
13,7,-10.0,-24.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6565,Wedge 3 x 2 Left,6.0,1994.0,2025.0,Bricks Wedged,3.0,2.0,,
14,7,30.0,-24.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,6564,Wedge 3 x 2 Right,6.0,1994.0,2025.0,Bricks Wedged,3.0,2.0,,
15,8,10.0,-24.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2877,Brick Special 1 x 2 with Grille,5.0,1991.0,2025.0,Bricks Special,1.0,2.0,,
16,7,10.0,-8.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020,Plate 2 x 4,14.0,1962.0,2025.0,Plates,2.0,4.0,,
17,8,10.0,-32.0,70.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2412b,Tile Special 1 x 2 Grille with Bottom Groove,15.0,1990.0,2025.0,Tiles Special,1.0,2.0,,
18,320,10.0,-16.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
19,0,10.0,-16.0,150.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
20,7,10.0,-48.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3039,Slope 45° 2 x 2,3.0,1958.0,2025.0,Bricks Sloped,2.0,2.0,,
21,7,10.0,-40.0,130.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3039,Slope 45° 2 x 2,3.0,1958.0,2025.0,Bricks Sloped,2.0,2.0,,
22,7,10.0,-32.0,100.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3003,Brick 2 x 2,11.0,1985.0,2025.0,Bricks,2.0,2.0,,
23,7,20.0,-48.0,10.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
24,7,0.0,-48.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,4070,Brick Special 1 x 1 with Headlight,5.0,1980.0,2025.0,Bricks Special,1.0,1.0,,
25,8,10.0,-40.0,110.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3794b,Plate Special 1 x 2 with 1 Stud with Groove (Jumper),9.0,2005.0,2017.0,Plates Special,1.0,2.0,,
26,0,30.0,-32.0,-130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43723,Wedge Plate 3 x 2 Left,49.0,2002.0,2025.0,Plates Angled,3.0,2.0,,
27,0,-10.0,-32.0,-130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43722,Wedge Plate 3 x 2 Right,49.0,2002.0,2025.0,Plates Angled,3.0,2.0,,
28,7,10.0,-32.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3710,Plate 1 x 4,14.0,1976.0,2025.0,Plates,1.0,4.0,,
29,7,0.0,-48.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32000,Technic Brick 1 x 2 [2 Pin Holes],8.0,1996.0,2025.0,Technic Bricks,1.0,2.0,,2 Pin Holes
30,7,20.0,-48.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32000,Technic Brick 1 x 2 [2 Pin Holes],8.0,1996.0,2025.0,Technic Bricks,1.0,2.0,,2 Pin Holes
31,1,30.0,-38.0,-30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
32,1,30.0,-38.0,-10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
33,1,-10.0,-38.0,-10.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
34,1,-10.0,-38.0,-30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4274,Technic Pin 1/2,53.0,1980.0,2025.0,Technic Pins,,,,
35,7,10.0,-56.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,32001,Technic Plate 2 x 6 [5 Holes],9.0,1992.0,2025.0,Plates Special,2.0,6.0,,5 Holes
36,7,0.0,-56.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43711,Wedge Sloped 4 x 2 Triple Right,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
37,7,20.0,-56.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43710,Wedge Sloped 4 x 2 Triple Left,6.0,2003.0,2025.0,Bricks Wedged,4.0,2.0,,
38,8,54.0,-20.0,-40.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,20006,,,,,,,,,
39,8,-34.0,-20.0,-40.0,0.0,1.0,0.0,-0.999999,0.0,0.0,0.0,0.0,1.0,20006,,,,,,,,,
40,7,-34.0,-38.0,10.0,0.0,1.0,0.0,-0.999999,0.0,0.0,0.0,0.0,1.0,3062b,Brick Round 1 x 1 Open Stud,20.0,1978.0,2025.0,Bricks Round and Cones,1.0,1.0,,
41,7,54.0,-38.0,10.0,0.0,-0.999999,0.0,-0.999999,0.0,0.0,0.0,0.0,-0.999999,3062b,Brick Round 1 x 1 Open Stud,20.0,1978.0,2025.0,Bricks Round and Cones,1.0,1.0,,
42,7,62.0,-38.0,10.0,0.0,-0.999999,0.0,0.0,0.0,0.999999,-0.999999,0.0,0.0,4697a,Pneumatic T-Piece (T Bar) [Old Style],22.0,1984.0,1996.0,Pneumatics,,,,Old Style
43,7,-42.0,-38.0,10.0,0.0,0.999999,0.0,0.0,0.0,0.999999,0.999999,0.0,0.0,4697a,Pneumatic T-Piece (T Bar) [Old Style],22.0,1984.0,1996.0,Pneumatics,,,,Old Style
44,7,10.0,-64.0,-60.0,0.0,0.0,-0.999999,0.0,0.999999,0.0,0.999999,0.0,0.0,4032a,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),21.0,1980.0,2025.0,Plates Round Curved and Dishes,2.0,2.0,,
45,7,10.0,-80.0,0.0,-0.999999,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,-0.999999,4599a,Tap 1 x 1 with Hole in Spout,27.0,1984.0,2010.0,Minifig Accessories,1.0,1.0,,
46,7,10.0,-48.0,110.0,-0.999999,0.0,0.0,0.0,0.999999,0.0,0.0,0.0,-0.999999,4592,Lever Small Base,32.0,2001.0,2004.0,"Bars, Ladders and Fences",,,,
47,0,10.0,-48.0,110.0,-0.999999,0.0,0.0,0.0,0.707107,-0.707106,0.0,-0.707106,-0.707106,4593,Lever Small,32.0,2001.0,2024.0,"Bars, Ladders and Fences",,,,
48,7,10.0,-80.0,-60.0,-0.999999,0.0,0.0,0.0,-0.999999,0.0,0.0,0.0,0.999999,3957a,Antenna 1 x 4 with Rounded Top,32.0,1979.0,2019.0,"Bars, Ladders and Fences",1.0,4.0,,
49,7,10.0,-88.0,-60.0,-0.999999,0.0,0.0,0.0,-0.999999,0.0,0.0,0.0,0.999999,3062b,Brick Round 1 x 1 Open Stud,20.0,1978.0,2025.0,Bricks Round and Cones,1.0,1.0,,
50,7,52.0,34.0,-120.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
51,7,52.0,34.0,-60.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
52,7,52.0,34.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
53,7,52.0,34.0,60.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
54,7,52.0,34.0,120.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
55,7,-32.0,34.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
56,7,-32.0,34.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
57,7,-32.0,34.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
58,7,-32.0,34.0,-60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
59,7,-32.0,34.0,-120.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",29.0,2004.0,2025.0,Wheels and Tyres,18.0,14.0,,
60,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,6232,Brick Special 2 x 2 with Pin and Axle Hole,5.0,1995.0,2025.0,Bricks Special,2.0,2.0,,
61,7,0.0,0.0,-30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,3701,Technic Brick 1 x 4 [3 Pin Holes],8.0,1977.0,2025.0,Technic Bricks,1.0,4.0,,3 Pin Holes
62,7,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3037,Slope 45° 2 x 4,3.0,1958.0,2025.0,Bricks Sloped,2.0,4.0,,
63,320,0.0,-8.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3069b,Tile 1 x 2 with Groove,19.0,1977.0,2025.0,Tiles,1.0,2.0,,
64,8,0.0,-4.0,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30162,Equipment Binoculars,27.0,1998.0,2025.0,Minifig Accessories,,,,
65,7,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3037,Slope 45° 2 x 4,3.0,1958.0,2025.0,Bricks Sloped,2.0,4.0,,
66,320,0.0,-8.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3069b,Tile 1 x 2 with Groove,19.0,1977.0,2025.0,Tiles,1.0,2.0,,
67,8,0.0,-4.0,-30.0,0.999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.999999,30162,Equipment Binoculars,27.0,1998.0,2025.0,Minifig Accessories,,,,
