part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
0,14,0.0,0.0,-20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
1,15,0.0,-88.0,-40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
2,71,0.0,-14.0,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
3,71,0.0,-14.0,-110.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
4,14,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3021,Plate 2 x 3,14.0,1962.0,2025.0,Plates,2.0,3.0,,
5,0,0.0,-24.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,30414,Brick Special 1 x 4 with 4 Studs on One Side,5.0,2000.0,2025.0,Bricks Special,1.0,4.0,,
6,0,-30.0,0.0,70.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666,Plate 1 x 6,14.0,1977.0,2025.0,Plates,1.0,6.0,,
7,0,30.0,0.0,70.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3666,Plate 1 x 6,14.0,1977.0,2025.0,Plates,1.0,6.0,,
8,72,-20.0,-24.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485,"Brick Round 2 x 2, Pin Holes",20.0,2015.0,2025.0,Bricks Round and Cones,2.0,2.0,,
9,72,20.0,-24.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485,"Brick Round 2 x 2, Pin Holes",20.0,2015.0,2025.0,Bricks Round and Cones,2.0,2.0,,
